timestamp,gpu_index,gpu_name,gpu_utilization_pct,memory_used_MiB,memory_total_MiB
2026/03/14 00:01:24.272, 3, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:27.474, 0, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:27.476, 1, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:27.478, 2, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:27.480, 3, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:30.676, 0, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:30.679, 1, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:30.681, 2, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:30.683, 3, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:33.888, 0, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:33.892, 1, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:33.894, 2, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:33.897, 3, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:37.113, 0, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:37.117, 1, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:37.123, 2, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:37.125, 3, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:40.355, 0, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:40.357, 1, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:40.359, 2, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:40.361, 3, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:43.562, 0, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:43.564, 1, NVIDIA GH200 120GB, 0, 6885, 97871
